query,intent,current_url,intended_owner,impressions,clicks,ctr,position,opportunity,evidence_class
wooden speaker cabinet manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker cabinet manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
custom speaker cabinet manufacturer,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker cabinet supplier,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
wooden speaker cabinet supplier,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker cabinet factory,COMMERCIAL,NOT_AVAILABLE,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
oem speaker cabinet,OEM_ODM,NOT_AVAILABLE,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
oem wooden speaker cabinet manufacturer,OEM_ODM,NOT_AVAILABLE,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
speaker cabinet oem manufacturer,OEM_ODM,NOT_AVAILABLE,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
odm speaker enclosure,OEM_ODM,NOT_AVAILABLE,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,REQUIRES_GSC_TO_CLASSIFY,STRUCTURAL_INFERRED
