query,query_classification,query_cluster,intended_owner_slug_phase416,intended_owner_production_url,owner_page_exists,actual_gsc_landing_page,correct_owner,clicks,impressions,ctr,position,cannibalization_risk_gsc,cannibalization_risk_structural,opportunity_class,contextual_inbound_links,owner_word_count,evidence_class
woodsat,BRAND,brand,,https://woodsat.com/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,BRAND,0,1130,STRUCTURAL_INFERRED (no GSC)
woodsat speaker cabinet,BRAND,brand,,https://woodsat.com/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,BRAND,0,1130,STRUCTURAL_INFERRED (no GSC)
woodsat manufacturer,BRAND,brand,about-us,https://woodsat.com/about-us/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,N/A,BRAND,2,772,STRUCTURAL_INFERRED (no GSC)
wooden speaker cabinet manufacturer,COMMERCIAL,speaker cabinet manufacturer,custom-wooden-speaker-cabinet-manufacturer,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,8,1239,STRUCTURAL_INFERRED (no GSC)
speaker cabinet manufacturer,COMMERCIAL,speaker cabinet manufacturer,custom-wooden-speaker-cabinet-manufacturer,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,8,1239,STRUCTURAL_INFERRED (no GSC)
custom speaker cabinet manufacturer,COMMERCIAL,custom speaker cabinet,custom-wooden-speaker-cabinet-manufacturer,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,8,1239,STRUCTURAL_INFERRED (no GSC)
speaker cabinet supplier,COMMERCIAL,speaker cabinet supplier,custom-wooden-speaker-cabinet-manufacturer,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,8,1239,STRUCTURAL_INFERRED (no GSC)
wooden speaker cabinet supplier,COMMERCIAL,speaker cabinet supplier,custom-wooden-speaker-cabinet-manufacturer,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,8,1239,STRUCTURAL_INFERRED (no GSC)
speaker cabinet factory,COMMERCIAL,speaker cabinet manufacturer,custom-wooden-speaker-cabinet-manufacturer,https://woodsat.com/custom-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,8,1239,STRUCTURAL_INFERRED (no GSC)
oem speaker cabinet,OEM_ODM,OEM speaker cabinet,oem-wooden-speaker-cabinet-manufacturer,https://woodsat.com/oem-wooden-speaker-cabinet-manufacturer/,YES,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,RESOLVED_STRUCTURALLY_4.16,REQUIRES_GSC_TO_CLASSIFY,7,1224,STRUCTURAL_INFERRED (no GSC)
